Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,4.8,15.6,581.6,5.4,12.8,53.9,18.4,82.96,18.2,12.4
Bulgaria,41.9,9.8,613.5,9.6,23.8,34.6,12.2,63.19,15.2,23.6
Czechia,16,13.6,616.1,5.4,18.4,32,8,82.3,27.1,9.3
Denmark,8.6,18.8,1052.3,3,9.2,47.6,14.9,92.8,18.5,7.8
Germany (until 1990 former territory of the FRG),7.2,26.1,564.8,3.8,12.8,67.2,12.5,95.974,14.7,14.2
Estonia,13.5,8.2,1540.5,3.6,5.3,28.4,13.9,87.87,19.5,7.3
Ireland,2.8,9,961.3,3.2,8,40.4,12.6,61.15,17.4,9.7
Greece,29,20.1,627.7,6.8,13.5,18.9,13.5,93.4,17.5,13.8
Spain,5.1,15.2,572.9,3.9,12.1,36.1,11.5,86.62,14.8,8.7
France,7.7,16.8,835.2,5.1,12,44.1,11.1,79.8,17.2,13.9
Croatia,39.9,8.6,670.7,8,19,23.6,11.4,36.9,15.7,3
Italy,27.1,12.5,471.5,5.6,19.2,47.8,16.1,59.6,17.3,12.5
Cyprus,2.8,16.9,977.2,6.2,14.7,16.2,29.3,,19,12.5
Latvia,41.9,14.1,1297.2,7,13.6,24.8,22.8,94.95,17.3,8
Lithuania,23.7,13.2,1053.1,6.8,8.6,48.1,15.7,73.78,8.9,8.2
Luxembourg,8.3,21.6,511.7,4.2,13.2,48.7,17.4,97,17.1,12
Hungary,40.5,11,704.3,6.4,20.9,35,24.8,79.119,30,7.2
Malta,3,24.9,190.6,4.1,,10.9,8.4,14.86,17.5,10
Netherlands,4.1,25.6,471.6,3.1,11.3,54.6,13.5,99.5,14.3,15
Austria,15.1,17.9,703.6,4.7,14.1,57.7,11.9,99.75,21.4,10.9
Poland,40.5,12.4,623.9,7.5,24.1,33.8,11.9,73.5,21.5,5.4
Portugal,9.3,23.5,621.2,5.8,12,29.1,25.5,84.64,11.5,7.9
Romania,47,19.3,364.8,10,20.4,14,11.1,46.5,22.2,11.3
Slovenia,12.8,13.3,609.2,5,19.7,57.8,22,67.4,13.5,8
Slovakia,36.4,12.8,536.2,5.1,17.5,29.8,6.7,65,25.6,6.2
Finland,6.1,12.5,2458.7,4.3,4.9,40.5,4.2,85,15.8,6.2
Sweden,13.5,16.9,2343.8,2.5,5.4,46.8,7,95,16.7,13
Iceland,7.9,10.3,,4.7,6.2,0,19.8,,11.9,2
Norway,5.3,10.8,,2,7,38.8,5.6,60.8,10.5,3.8
Switzerland,6.5,17.8,,2.7,10,52.5,12.2,98,25.4,9.1
United Kingdom,3.4,17.3,430.5,2.8,9.9,43.8,17,100,13.3,20.3
Type,-1,-1,1,-1,-1,1,-1,1,1,-1
